Common Name,Systematic Name
ASR1,YPR093C
AST1,YBL069W
AST2,YER101C
ATC1,YDR184C
ATE1,YGL017W
ATF1,YOR377W
ATF2,YGR177C
ATG1,YGL180W
ATG10,YLL042C
ATG11,YPR049C
ATG12,YBR217W
ATG13,YPR185W
ATG14,YBR128C
ATG15,YCR068W
ATG16,YMR159C
ATG17,YLR423C
ATG18,YFR021W
ATG19,YOL082W
ATG2,YNL242W
ATG20,YDL113C
ATG21,YPL100W
ATG22,YCL038C
ATG23,YLR431C
ATG26,YLR189C
ATG27,YJL178C
ATG29,YPL166W
ATG3,YNR007C
ATG31,YDR022C
ATG32,YIL146C
ATG33,YLR356W
ATG34,YOL083W
ATG36,YJL185C
ATG4,YNL223W
ATG5,YPL149W
ATG7,YHR171W
ATG8,YBL078C
ATG9,YDL149W
ATH1,YPR026W
ATM1,YMR301C
ATO2,YNR002C
ATO3,YDR384C
ATP1,YBL099W
ATP10,YLR393W
ATP11,YNL315C
ATP12,YJL180C
ATP14,YLR295C
ATP15,YPL271W
ATP16,YDL004W
ATP17,YDR377W
ATP18,YML081C-A
ATP19,YOL077W-A
ATP2,YJR121W
ATP20,YPR020W
ATP22,YDR350C
ATP23,YNR020C
ATP25,YMR098C
ATP3,YBR039W
ATP4,YPL078C
ATP5,YDR298C
ATP7,YKL016C
ATR1,YML116W
ATS1,YAL020C
ATX1,YNL259C
ATX2,YOR079C
AUA1,YFL010W-A
AUR1,YKL004W
AUS1,YOR011W
AVL9,YLR114C
AVO1,YOL078W
AVO2,YMR068W
AVT1,YJR001W
AVT2,YEL064C
AVT3,YKL146W
AVT4,YNL101W
AVT5,YBL089W
AVT6,YER119C
AVT7,YIL088C
AXL1,YPR122W
AXL2,YIL140W
AYR1,YIL124W
AYT1,YLL063C
AZF1,YOR113W
AZR1,YGR224W
BAG7,YOR134W
BAP2,YBR068C
BAP3,YDR046C
BAR1,YIL015W
BAS1,YKR099W
BAT1,YHR208W
BAT2,YJR148W
BBC1,YJL020C
BBP1,YPL255W
BCD1,YHR040W
BCH1,YMR237W
BCH2,YKR027W
BCK1,YJL095W
BCK2,YER167W
BCP1,YDR361C
BCS1,YDR375C
BCY1,YIL033C
BDF1,YLR399C
BDF2,YDL070W
BDH1,YAL060W
BDH2,YAL061W
BDP1,YNL039W
BDS1,YOL164W
BEM1,YBR200W
BEM2,YER155C
BEM3,YPL115C
BEM4,YPL161C
BER1,YLR412W
BET1,YIL004C
BET2,YPR176C
BET3,YKR068C
BET4,YJL031C
BET5,YML077W
BFA1,YJR053W
BFR1,YOR198C
BFR2,YDR299W
BGL2,YGR282C
BIG1,YHR101C
BIK1,YCL029C
BIM1,YER016W
BIO2,YGR286C
BIO3,YNR058W
BIO4,YNR057C
BIO5,YNR056C
BIR1,YJR089W
BIT2,YBR270C
BIT61,YJL058C
BLI1,YKL061W
BLM10,YFL007W
BLS1,YLR408C
BMH1,YER177W
BMH2,YDR099W
BMS1,YPL217C
BMT2,YBR141C
BNA1,YJR025C
BNA2,YJR078W
BNA3,YJL060W
BNA4,YBL098W
BNA5,YLR231C
BNA6,YFR047C
BNA7,YDR428C
BNI1,YNL271C
BNI4,YNL233W
BNI5,YNL166C
BNR1,YIL159W
BNS1,YGR230W
BOI1,YBL085W
BOI2,YER114C
BOP2,YLR267W
BOP3,YNL042W
BOR1,YNL275W
BOS1,YLR078C
BPH1,YCR032W
BPL1,YDL141W
BPT1,YLL015W
BRE1,YDL074C
BRE2,YLR015W
BRE4,YDL231C
BRE5,YNR051C
BRF1,YGR246C
BRL1,YHR036W
BRN1,YBL097W
BRO1,YPL084W
BRR1,YPR057W
BRR2,YER172C
BRR6,YGL247W
BRX1,YOL077C
BSC1,YDL037C
BSC2,YDR275W
BSC4,YNL269W
BSC5,YNR069C
BSC6,YOL137W
BSD2,YBR290W
BSP1,YPR171W
BST1,YFL025C
BTN2,YGR142W
BTS1,YPL069C
BTT1,YDR252W
BUB1,YGR188C
BUB2,YMR055C
BUB3,YOR026W
BUD13,YGL174W
BUD14,YAR014C
BUD16,YEL029C
BUD17,YNR027W
BUD19,YJL188C
BUD2,YKL092C
BUD20,YLR074C
BUD21,YOR078W
BUD22,YMR014W
BUD23,YCR047C
BUD25,YER014C-A
BUD26,YDR241W
BUD27,YFL023W
BUD28,YLR062C
BUD3,YCL014W
BUD30,YDL151C
BUD31,YCR063W
BUD32,YGR262C
BUD4,YJR092W
BUD5,YCR038C
BUD6,YLR319C
BUD7,YOR299W
BUD8,YLR353W
BUD9,YGR041W
BUG1,YDL099W
BUL1,YMR275C
BUL2,YML111W
BUR2,YLR226W
BUR6,YER159C
BXI1,YNL305C
BYE1,YKL005C
BZZ1,YHR114W
CAB1,YDR531W
CAB2,YIL083C
CAB3,YKL088W
CAB4,YGR277C
CAB5,YDR196C
CAC2,YML102W
CAD1,YDR423C
CAF120,YNL278W
CAF130,YGR134W
CAF16,YFL028C
CAF20,YOR276W
CAF4,YKR036C
CAF40,YNL288W
CAJ1,YER048C
CAK1,YFL029C
CAM1,YPL048W
CAN1,YEL063C
CAP1,YKL007W
CAP2,YIL034C
CAR1,YPL111W
CAR2,YLR438W
CAT2,YML042W
CAT5,YOR125C
CAT8,YMR280C
CAX4,YGR036C
CBC2,YPL178W
CBF1,YJR060W
CBF2,YGR140W
CBF5,YLR175W
CBK1,YNL161W
CBP1,YJL209W
CBP2,YHL038C
CBP3,YPL215W
CBP4,YGR174C
CBP6,YBR120C
CBR1,YIL043C
CBS1,YDL069C
CBS2,YDR197W
CBT1,YKL208W
CCA1,YER168C
CCC1,YLR220W
CCC2,YDR270W
CCE1,YKL011C
CCH1,YGR217W
CCL1,YPR025C
CCM1,YGR150C
CCP1,YKR066C
CCR4,YAL021C
CCS1,YMR038C
CCT2,YIL142W
CCT3,YJL014W
CCT4,YDL143W
CCT5,YJR064W
CCT6,YDR188W
CCT7,YJL111W
CCT8,YJL008C
CCW12,YLR110C
CCW14,YLR390W-A
CCZ1,YBR131W
CDA1,YLR307W
CDA2,YLR308W
CDC1,YDR182W
CDC10,YCR002C
CDC11,YJR076C
CDC12,YHR107C
CDC123,YLR215C
CDC13,YDL220C
CDC14,YFR028C
CDC15,YAR019C
CDC16,YKL022C
CDC19,YAL038W
CDC20,YGL116W
CDC21,YOR074C
CDC23,YHR166C
CDC24,YAL041W
CDC25,YLR310C
CDC26,YFR036W
CDC27,YBL084C
CDC28,YBR160W
CDC3,YLR314C
CDC31,YOR257W
CDC33,YOL139C
CDC34,YDR054C
CDC36,YDL165W
CDC37,YDR168W
CDC39,YCR093W
CDC4,YFL009W
CDC40,YDR364C
CDC42,YLR229C
CDC43,YGL155W
CDC45,YLR103C
CDC48,YDL126C
CDC5,YMR001C
CDC50,YCR094W
CDC53,YDL132W
CDC55,YGL190C
CDC6,YJL194W
CDC60,YPL160W
CDC7,YDL017W
CDC73,YLR418C
CDC8,YJR057W
CDC9,YDL164C
CDD1,YLR245C
CDH1,YGL003C
CDS1,YBR029C
CEF1,YMR213W
CEG1,YGL130W
CEM1,YER061C
CEP3,YMR168C
CET1,YPL228W
CEX1,YOR112W
CFD1,YIL003W
CFT1,YDR301W
CFT2,YLR115W
CGI121,YML036W
CGR1,YGL029W
CHA1,YCL064C
CHA4,YLR098C
CHC1,YGL206C
CHD1,YER164W
CHK1,YBR274W
CHL1,YPL008W
CHL4,YDR254W
CHO1,YER026C
CHO2,YGR157W
CHS1,YNL192W
CHS2,YBR038W
CHS3,YBR023C
CHS5,YLR330W
CHS6,YJL099W
CHS7,YHR142W
CHZ1,YER030W
CIA1,YDR267C
CIA2,YHR122W
CIC1,YHR052W
CIK1,YMR198W
CIN1,YOR349W
CIN2,YPL241C
CIN4,YMR138W
CIN5,YOR028C
CIN8,YEL061C
CIR1,YGR207C
CIR2,YOR356W
CIS3,YJL158C
CIT1,YNR001C
CIT2,YCR005C
CIT3,YPR001W
CKA1,YIL035C
CKA2,YOR061W
CKB1,YGL019W
CKB2,YOR039W
CKI1,YLR133W
CKS1,YBR135W
CLA4,YNL298W
CLB1,YGR108W
CLB2,YPR119W
CLB3,YDL155W
CLB4,YLR210W
CLB5,YPR120C
CLB6,YGR109C
CLC1,YGR167W
CLD1,YGR110W
CLF1,YLR117C
CLG1,YGL215W
CLN1,YMR199W
CLN2,YPL256C
CLN3,YAL040C
CLP1,YOR250C
CLU1,YMR012W
CMC1,YKL137W
CMC2,YBL059C-A
CMC4,YMR194C-B
CMD1,YBR109C
CMK1,YFR014C
CMK2,YOL016C
CMP2,YML057W
CMR1,YDL156W
CMR3,YPR013C
CMS1,YLR003C
CNA1,YLR433C
CNB1,YKL190W
CNE1,YAL058W
CNL1,YDR357C
CNM67,YNL225C
CNN1,YFR046C
CNS1,YBR155W
COA1,YIL157C
COA2,YPL189C-A
COA3,YJL062W-A
COA4,YLR218C
COA6,YMR244C-A
COF1,YLL050C
COG1,YGL223C
COG2,YGR120C
COG3,YER157W
COG4,YPR105C
COG5,YNL051W
COG6,YNL041C
COG7,YGL005C
COG8,YML071C
COP1,YDL145C
COQ1,YBR003W
COQ10,YOL008W
COQ2,YNR041C
COQ3,YOL096C
COQ4,YDR204W
COQ5,YML110C
COQ6,YGR255C
COQ8,YGL119W
COQ9,YLR201C
COR1,YBL045C
COS1,YNL336W
COS10,YNR075W
COS111,YBR203W
COS12,YGL263W
COS2,YBR302C
COS3,YML132W
COS4,YFL062W
COS5,YJR161C
COS6,YGR295C
COS7,YDL248W
COS8,YHL048W
COS9,YKL219W
COT1,YOR316C
COX10,YPL172C
COX11,YPL132W
COX12,YLR038C
COX13,YGL191W
COX14,YML129C
COX15,YER141W
COX16,YJL003W
COX17,YLL009C
COX18,YGR062C
COX19,YLL018C-A
COX20,YDR231C
COX23,YHR116W
COX26,YDR119W-A
COX4,YGL187C
COX5a,YNL052W
COX5b,YIL111W
COX6,YHR051W
COX7,YMR256C
COX8,YLR395C
COX9,YDL067C
COY1,YKL179C
CPA1,YOR303W
CPA2,YJR109C
CPD1,YGR247W
CPR1,YDR155C
CPR2,YHR057C
CPR3,YML078W
CPR4,YCR069W
CPR5,YDR304C
CPR6,YLR216C
CPR7,YJR032W
CPR8,YNR028W
CPS1,YJL172W
CPT1,YNL130C
CRC1,YOR100C
CRD1,YDL142C
CRF1,YDR223W
CRG1,YHR209W
CRH1,YGR189C
CRM1,YGR218W
CRN1,YLR429W
CRP1,YHR146W
CRR1,YLR213C
CRT10,YOL063C
CRZ1,YNL027W
CSE1,YGL238W
CSE2,YNR010W
CSE4,YKL049C
CSF1,YLR087C
CSG2,YBR036C
CSH1,YBR161W
CSI1,YMR025W
CSI2,YOL007C
CSL4,YNL232W
CSM1,YCR086W
CSM2,YIL132C
CSM3,YMR048W
CSM4,YPL200W
CSN12,YJR084W
CSN9,YDR179C
CSR1,YLR380W
CSR2,YPR030W
CST26,YBR042C
CST6,YIL036W
CST9,YLR394W
CTA1,YDR256C
CTF13,YMR094W
CTF18,YMR078C
CTF19,YPL018W
CTF3,YLR381W
CTF4,YPR135W
CTF8,YHR191C
CTH1,YDR151C
CTI6,YPL181W
CTK1,YKL139W
CTK2,YJL006C
CTK3,YML112W
CTL1,YMR180C
CTM1,YHR109W
CTP1,YBR291C
CTR1,YPR124W
CTR2,YHR175W
CTR3,YLR411W
CTR86,YCR054C
CTR9,YOL145C
CTS1,YLR286C
CTS2,YDR371W
CTT1,YGR088W
CUE1,YMR264W
CUE2,YKL090W
CUE3,YGL110C
CUE4,YML101C
CUE5,YOR042W
CUL3,YGR003W
CUP1-1,YHR053C
CUP1-2,YHR055C
CUP2,YGL166W
CUP9,YPL177C
CUR1,YPR158W
CUS1,YMR240C
CUS2,YNL286W
CWC15,YDR163W
CWC2,YDL209C
CWC21,YDR482C
CWC22,YGR278W
CWC23,YGL128C
CWC24,YLR323C
CWC25,YNL245C
CWC27,YPL064C
CWH36,YCL007C
CWH41,YGL027C
CWH43,YCR017C
CWP1,YKL096W
CWP2,YKL096W-A
CYB2,YML054C
CYB5,YNL111C
CYC1,YJR048W
CYC2,YOR037W
CYC3,YAL039C
CYC7,YEL039C
CYC8,YBR112C
CYK3,YDL117W
CYM1,YDR430C
CYR1,YJL005W
CYS3,YAL012W
CYS4,YGR155W
CYT1,YOR065W
CYT2,YKL087C
DAD1,YDR016C
DAD2,YKR083C
DAD3,YBR233W-A
DAD4,YDR320C-A
DAK1,YML070W
DAK2,YFL053W
DAL1,YIR027C
DAL2,YIR029W
DAL3,YIR032C
DAL4,YIR028W
DAL5,YJR152W
DAL7,YIR031C
DAL80,YKR034W
DAL81,YIR023W
DAL82,YNL314W
DAM1,YGR113W
DAN1,YJR150C
DAN4,YJR151C
DAP1,YPL170W
DAP2,YHR028C
DAS1,YJL149W
DAS2,YDR020C
DAT1,YML113W
DBF2,YGR092W
DBF20,YPR111W
DBF4,YDR052C
DBP1,YPL119C
DBP10,YDL031W
DBP2,YNL112W
DBP3,YGL078C
DBP5,YOR046C
DBP6,YNR038W
DBP7,YKR024C
DBP8,YHR169W
DBP9,YLR276C
DBR1,YKL149C
DCC1,YCL016C
DCD1,YHR144C
DCG1,YIR030C
DCI1,YOR180C
DCN1,YLR128W
DCP1,YOL149W
DCP2,YNL118C
DCR2,YLR361C
DCS1,YLR270W
DCS2,YOR173W
DCV1,YFR012W
DCW1,YKL046C
DDC1,YPL194W
DDI1,YER143W
DDI2,YFL061W
DDI3,YNL335W
DDP1,YOR163W
DDR2,YOL052C-A
DDR48,YMR173W
DED1,YOR204W
DED81,YHR019C
DEF1,YKL054C
DEG1,YFL001W
DEP1,YAL013W
DER1,YBR201W
DET1,YDR051C
DFG10,YIL049W
DFG16,YOR030W
DFG5,YMR238W
DFM1,YDR411C
DFR1,YOR236W
DGA1,YOR245C
DGK1,YOR311C
DGR1,YNL130C-A
DGR2,YKL121W
DHH1,YDL160C
DHR2,YKL078W
DIA1,YMR316W
DIA2,YOR080W
DIA3,YDL024C
DIA4,YHR011W
DIB1,YPR082C
DIC1,YLR348C
DID2,YKR035W-A
DID4,YKL002W
DIE2,YGR227W
DIF1,YLR437C
DIG1,YPL049C
DIG2,YDR480W
DIM1,YPL266W
DIN7,YDR263C
DIP2,YLR129W
DIP5,YPL265W
DIS3,YOL021C
DIT1,YDR403W
DIT2,YDR402C
DJP1,YIR004W
DLD1,YDL174C
DLD2,YDL178W
DLD3,YEL071W
DLS1,YJL065C
DLT1,YMR126C
DMA1,YHR115C
DMA2,YNL116W
DMC1,YER179W
DML1,YMR211W
DNA2,YHR164C
DNF1,YER166W
DNF2,YDR093W
DNF3,YMR162C
DNL4,YOR005C
DNM1,YLL001W
DOA1,YKL213C
DOA4,YDR069C
DOC1,YGL240W
DOG1,YHR044C
DOG2,YHR043C
DOM34,YNL001W
DON1,YDR273W
DOP1,YDR141C
DOS2,YDR068W
DOT1,YDR440W
DOT5,YIL010W
DOT6,YER088C
DPB11,YJL090C
DPB2,YPR175W
DPB3,YBR278W
DPB4,YDR121W
DPH1,YIL103W
DPH2,YKL191W
DPH5,YLR172C
DPH6,YLR143W
DPL1,YDR294C
DPM1,YPR183W
DPP1,YDR284C
DPS1,YLL018C
DRE2,YKR071C
DRS1,YLL008W
DRS2,YAL026C
DSD1,YGL196W
DSE1,YER124C
DSE2,YHR143W
DSE3,YOR264W
DSE4,YNR067C
DSF1,YEL070W
DSF2,YBR007C
DSK2,YMR276W
DSL1,YNL258C
DSN1,YIR010W
DSS1,YMR287C
DSS4,YPR017C
DST1,YGL043W
DTD1,YDL219W
DTR1,YBR180W
DUF1,YOL087C
DUG1,YFR044C
DUG2,YBR281C
DUG3,YNL191W
DUN1,YDL101C
DUO1,YGL061C
"DUR1,2",YBR208C
DUR3,YHL016C
DUS1,YML080W
DUS3,YLR401C
DUS4,YLR405W
DUT1,YBR252W
DXO1,YDR370C
DYN1,YKR054C
DYN2,YDR424C
DYN3,YMR299C
DYS1,YHR068W
EAF1,YDR359C
EAF3,YPR023C
EAF5,YEL018W
EAF6,YJR082C
EAF7,YNL136W
EAP1,YKL204W
EAR1,YMR171C
EBP2,YKL172W
EBS1,YDR206W
ECI1,YLR284C
ECL1,YGR146C
ECM1,YAL059W
ECM10,YEL030W
ECM11,YDR446W
ECM12,YHR021W-A
ECM13,YBL043W
ECM14,YHR132C
ECM15,YBL001C
ECM16,YMR128W
ECM18,YDR125C
ECM19,YLR390W
ECM2,YBR065C
ECM21,YBL101C
ECM22,YLR228C
ECM23,YPL021W
ECM25,YJL201W
ECM27,YJR106W
ECM29,YHL030W
ECM3,YOR092W
ECM30,YLR436C
ECM31,YBR176W
ECM32,YER176W
ECM33,YBR078W
ECM34,YHL043W
ECM38,YLR299W
ECM4,YKR076W
ECM5,YMR176W
ECM7,YLR443W
ECM8,YBR076W
ECM9,YKR004C
ECO1,YFR027W
ECT1,YGR007W
EDC1,YGL222C
EDC2,YER035W
EDC3,YEL015W
EDE1,YBL047C
EDS1,YBR033W
EEB1,YPL095C
EFB1,YAL003W
EFG1,YGR271C-A
EFM1,YHL039W
EFM2,YBR271W
EFR3,YMR212C
EFT1,YOR133W
EFT2,YDR385W
EGD1,YPL037C
EGD2,YHR193C
EGT2,YNL327W
EHD3,YDR036C
EHT1,YBR177C
EIS1,YMR031C
EKI1,YDR147W
ELA1,YNL230C
ELC1,YPL046C
ELF1,YKL160W
ELG1,YOR144C
ELM1,YKL048C
ELO1,YJL196C
ELP2,YGR200C
ELP3,YPL086C
ELP4,YPL101W
ELP6,YMR312W
EMC1,YCL045C
EMC2,YJR088C
EMC3,YKL207W
EMC4,YGL231C
EMC5,YIL027C
EMC6,YLL014W
EMG1,YLR186W
EMI1,YDR512C
EMI2,YDR516C
EMI5,YOL071W
EMP24,YGL200C
EMP46,YLR080W
EMP47,YFL048C
EMP65,YER140W
EMP70,YLR083C
EMW1,YNL313C
ENA1,YDR040C
ENA2,YDR039C
ENA5,YDR038C
ENB1,YOL158C
END3,YNL084C
ENO1,YGR254W
ENO2,YHR174W
ENP1,YBR247C
ENP2,YGR145W
ENT1,YDL161W
ENT2,YLR206W
ENT3,YJR125C
ENT4,YLL038C
ENT5,YDR153C
ENV10,YLR065C
ENV11,YGR071C
ENV7,YPL236C
ENV9,YOR246C
EOS1,YNL080C
EPL1,YFL024C
EPS1,YIL005W
EPT1,YHR123W
ERB1,YMR049C
ERC1,YHR032W
ERD1,YDR414C
ERD2,YBL040C
ERF2,YLR246W
ERG1,YGR175C
ERG10,YPL028W
ERG11,YHR007C
ERG12,YMR208W
ERG13,YML126C
ERG2,YMR202W
ERG20,YJL167W
ERG24,YNL280C
ERG25,YGR060W
ERG26,YGL001C
ERG27,YLR100W
ERG28,YER044C
ERG3,YLR056W
ERG4,YGL012W
ERG5,YMR015C
ERG6,YML008C
ERG7,YHR072W
ERG8,YMR220W
ERG9,YHR190W
ERI1,YPL096C-A
ERJ5,YFR041C
ERO1,YML130C
ERP1,YAR002C-A
ERP2,YAL007C
ERP3,YDL018C
ERP4,YOR016C
ERP5,YHR110W
ERP6,YGL002W
ERR1,YOR393W
ERR2,YPL281C
ERR3,YMR323W
ERS1,YCR075C
ERT1,YBR239C
ERV1,YGR029W
ERV14,YGL054C
ERV15,YBR210W
ERV2,YPR037C
ERV25,YML012W
ERV29,YGR284C
ERV41,YML067C
ERV46,YAL042W
ESA1,YOR244W
ESBP6,YNL125C
ESC1,YMR219W
ESC2,YDR363W
ESC8,YOL017W
ESF1,YDR365C
ESF2,YNR054C
ESL2,YKR096W
ESP1,YGR098C
ESS1,YJR017C
EST1,YLR233C
EST2,YLR318W
EST3,YIL009C-A
ETP1,YHL010C
ETR1,YBR026C
ETT1,YOR051C
EUG1,YDR518W
EXG1,YLR300W
EXG2,YDR261C
EXO1,YOR033C
EXO5,YBR163W
EXO70,YJL085W
EXO84,YBR102C
FAA1,YOR317W
FAA2,YER015W
FAA3,YIL009W
FAA4,YMR246W
FAB1,YFR019W
FAD1,YDL045C
FAF1,YIL019W
FAL1,YDR021W
FAP1,YNL023C
FAP7,YDL166C
FAR1,YJL157C
FAR10,YLR238W
FAR11,YNL127W
FAR3,YMR052W
FAR7,YFR008W
FAR8,YMR029C
FAS1,YKL182W
FAS2,YPL231W
FAT1,YBR041W
FAT3,YKL187C
FAU1,YER183C
FBA1,YKL060C
FBP1,YLR377C
FBP26,YJL155C
FCF1,YDR339C
FCF2,YLR051C
FCJ1,YKR016W
FCP1,YMR277W
FCY1,YPR062W
FCY2,YER056C
FCY21,YER060W
FCY22,YER060W-A
FDC1,YDR539W
FDH1,YOR388C
FDH2,YPL275W
FEN1,YCR034W
FEN2,YCR028C
FES1,YBR101C
FET3,YMR058W
FET4,YMR319C
FET5,YFL041W
FHL1,YPR104C
FHN1,YGR131W
FIG1,YBR040W
FIG2,YCR089W
FIG4,YNL325C
FIN1,YDR130C
FIP1,YJR093C
FIR1,YER032W
FIS1,YIL065C
FIT1,YDR534C
FIT2,YOR382W
FIT3,YOR383C
FKH1,YIL131C
FKH2,YNL068C
FKS1,YLR342W
FKS3,YMR306W
FLC1,YPL221W
FLC2,YAL053W
FLC3,YGL139W
FLD1,YLR404W
FLO1,YAR050W
FLO10,YKR102W
FLO11,YIR019C
FLO5,YHR211W
FLO9,YAL063C
FLR1,YBR008C
FLX1,YIL134W
FMC1,YIL098C
FMN1,YDR236C
FMO1,YHR176W
FMP10,YER182W
FMP16,YDR070C
FMP21,YBR269C
